Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample_01	sample_02	sample_03	control_01	infected_01	control_02	infected_02	control_03	infected_03	control_04	infected_04	control_05	infected_05	control_06	infected_06	sample_16	RefInt_2022-12-07_trost_all_closed
A0A024RBG1	10	NUDT4B	1.0	19.711471738535597	NA	NA	19.680552996920653	19.968649282973672	19.88099356056507	19.896870182663363	19.795046883752445	19.858646504453233	19.520765639645198	19.869229966474197	19.545001823251727	19.751333047825135	19.780692649422484	19.567186741073048	19.358130680268765	NA	19.711471738535597
A0A087X1C5	1	CYP2D7	0.9732	20.526969517523103	NA	NA	20.478537450145865	20.88356072302954	21.260119535707332	20.953318612676437	20.877428709797176	20.69439047620918	20.302751188909472	20.59177752046238	20.946025781139774	20.31995293298746	19.899935256671746	20.165693548312117	19.796163845149785	NA	20.526969517523103
A0A096LP49	21	CCDC187	1.0	18.65003801046624	NA	NA	18.80352178595247	18.67054152167585	18.622008921937265	18.55011154249274	18.449096645261104	18.808159071399437	18.734366443948243	18.580655381168754	18.42412359129232	18.682901746669593	19.05138712566197	18.62790220391826	18.456930330457165	NA	18.65003801046624
A0A0B4J2D5	28	GATD3B	1.0	21.63759966101574	NA	NA	21.605129928084025	21.79501145410825	21.8306700765028	21.689359428140715	21.72148131702966	21.66830833775436	21.718393645518994	21.649998265143132	21.51874090679826	21.41867911656013	21.626083414134737	21.477178025674334	21.584209227210554	NA	21.63759966101574
A0A3B3IS91	1	POLGARF	0.9689	17.677698204563935	NA	NA	NA	17.60043850945062	17.664559194595757	17.855120236214994	17.43193182284483	17.7556482534014	17.702508642914783	17.770785922409065	17.962963114095256	17.62622789127801	17.6592660536445	17.64751469124982	17.411652261838086	NA	17.677698204563935
A0AV96	20	RBM47	1.0	18.47667832503769	NA	NA	18.41342585875859	18.41665592523973	18.535212996484333	18.425852655269317	18.462290585817627	18.500438362574446	18.48261360459149	18.5218522219879	18.46883200108102	18.41619469951161	18.402976186887148	18.588934238370356	18.452876595238084	NA	18.47667832503769
A0AVF1	49	TTC26	1.0	20.59145917512777	NA	21.468476168435505	20.391494755645247	20.817611358965056	20.683001424627776	20.97567451497306	20.643148999208176	20.761689459945014	20.474573652631907	20.557422921555307	19.820484277931328	20.319645485402162	20.589312658346486	20.63315437220293	20.470687180528884	NA	20.59145917512777
A0AVT1	44	UBA6	1.0	20.455483980276345	NA	19.580331182580363	20.791334697811706	20.48805186194352	20.520563561130945	20.372673413962058	20.463892388933704	20.406837349728285	20.585783481382798	20.35692597107603	20.364590946312312	20.508552092956702	20.572987012939446	20.445432821818144	20.479675491226896	21.097681667541917	20.455483980276345
A0FGR8	38	ESYT2	1.0	21.97973805615808	22.167332831403485	NA	23.04354945986374	21.957034582723107	21.95464092478531	22.035101475518207	21.965383353087926	21.95285717804934	21.967811726962694	22.03403806076679	21.863916758668402	22.02307665647423	22.21027846488942	21.96428382877752	21.96797579778237	22.475433446974066	21.97973805615808
A0MZ66	14	SHTN1	1.0	20.178272228505694	NA	NA	20.24608937276168	20.10683387461881	20.01702473272454	20.180602954545044	20.027051754601203	20.17950258966487	20.389019721504187	20.311174381925685	20.523049101789272	20.086167504769513	20.311904324111623	20.159568045466575	20.175781489467656	NA	20.178272228505694
A0PJW6	1	TMEM223	0.9955	14.66674477805043	NA	NA	NA	14.415201988565835	14.416901038133595	14.796050337951375	14.56143360596049	14.572206127342616	14.982291264247648	14.817207808016654	14.838060879044267	14.795145301478277	14.74151493685428	14.331489441560068	14.69436765326119	NA	14.66674477805043
A0PJW8	1	DAPL1	0.9923	16.000662906942676	NA	NA	NA	15.863573075755934	15.214472038156734	16.38426585676603	15.630693119190212	16.242297964719334	15.481242384669706	15.421597043442379	16.347758168463393	16.9973658533656	15.395674009642407	16.337598708278474	15.449446947104391	NA	16.000662906942676
A1A4V9	3	CFAP119	0.9993	15.225870326874167	NA	NA	NA	15.288980027022621	15.02194973777615	15.370779425574998	15.35430991374753	15.363422426378301	15.119874385963676	15.056246428964704	15.02748473531654	14.846714916933813	15.445400427728364	15.3494352127933	15.249713287017112	NA	15.225870326874167
A1A5D9	6	BICDL2	1.0	18.206803461055166	NA	NA	18.476982176139284	18.419941096913625	18.01083301188388	18.255226866237116	18.076279138425186	18.026522534286084	18.178733966714937	18.098385682263075	18.144531274612863	18.406700799368924	18.32029414857752	18.135947824839416	18.072519907025303	NA	18.206803461055166
A1IGU5	13	ARHGEF37	1.0	16.981170681270125	NA	NA	NA	16.884981206702886	16.97285462222964	16.898196638052166	17.00326122850004	16.915479326091127	17.096667352004644	16.880768813924238	16.947366885195432	17.215578112958955	17.264493925382542	16.855192497243056	17.01232768733032	NA	16.981170681270125
A1L0T0	22	ILVBL	1.0	19.434444862443296	NA	19.230385985145187	19.129180918239097	19.364089181268774	19.53735291392955	19.528770017203573	19.59182087106447	19.447516641875993	19.55193369345891	19.57111048337092	19.347746501469	19.368882115426818	19.512716243051504	19.152315934391822	19.28279802712171	NA	19.434444862443296
A1X283	15	SH3PXD2B	1.0	18.89601656782591	NA	18.028017628694823	NA	18.878718983897777	18.851861439841393	18.98859483181461	19.046145051229875	18.756289442346862	19.197282293710277	18.766246591878872	19.103578083838027	18.832187794916685	18.69140021717465	18.864064173013446	18.875730527011882	NA	18.89601656782591
A1XBS5	1	CIBAR1	0.9355	10.920100507215729	NA	NA	11.485812463301693	11.007172248942545	11.239003401583417	11.241727640062763	11.333260846818826	11.30951259494523	11.1774612912644	10.894472089259818	10.969050117755211	10.172988088475547	10.98760825583486	10.76130404647019	10.874451124081208	NA	NA
A2IDD5	24	CCDC78	1.0	19.353968696558923	NA	NA	19.52764518564624	19.467417915356656	19.47857186055797	19.691197213937272	19.37559461078002	19.509038706512353	19.173807154565747	19.30167440633522	18.790575926701017	19.230263502128484	19.625300733773216	19.336095552446366	19.218604337261997	19.86590278565029	19.353968696558923
A2RRP1	18	NBAS	1.0	18.100904584363523	NA	NA	NA	18.03083849034793	17.92662291264535	18.096561591596192	18.069996190953848	18.171986312667855	18.133216491837228	18.23214971275831	18.087411698970122	18.267318096925976	18.234263669503445	17.796594309357467	18.00906493895971	18.81306835936575	18.100904584363523
A2VCK2	29	DCDC2B	1.0	20.865699178039787	NA	19.272466434040084	19.95062235258746	20.950138514520663	20.85956010190964	21.29483040321385	21.00420066648255	21.15814305458329	20.754546112554728	20.918143305267186	19.96270164052985	20.499784219318173	20.77443664472084	21.049988143591033	20.889690657266016	NA	20.865699178039787
A3KMH1	19	VWA8	1.0	17.107961903641822	NA	NA	NA	16.98856585305004	16.904997330998537	17.10213589388532	17.10066067412322	17.00326196057993	17.16666218281251	17.086938250231007	17.164057696542653	17.17980791111437	17.16653700344852	17.10712408375192	17.230470118136108	NA	17.107961903641822
A3KN83	1	SBNO1	1.0	13.00377157656811	NA	NA	NA	12.873944916700935	13.000813619274473	NA	13.063550223516934	12.880114876761278	NA	NA	NA	NA	13.016885433486967	NA	NA	NA	13.00377157656811
A4D1P6	3	WDR91	0.9997	13.221692135036669	NA	NA	NA	12.541230201307338	12.6963920704479	12.55406321447642	12.84919974350033	13.575987014496732	12.718283944918365	13.004204176125793	13.641712486530935	14.779339728855888	13.670714113986906	12.542578416921199	12.399488336115708	NA	13.221692135036669
A4D1U4	1	DENND11	1.0	10.920100507215729	NA	NA	NA	10.673217809549929	11.70945708595096	10.687669784159272	10.959583744484384	10.554994993143598	11.07414590417797	11.10177706968598	10.404055361460975	11.073702743059584	11.01926971336858	10.47109438313883	10.869875451842828	NA	NA
A4QMS7	9	C5orf49	0.9998	17.551581216224758	NA	NA	NA	17.583290288214492	17.43090746246406	17.67554792341859	17.60542107076531	17.678923397633366	17.434707332099347	17.53915728928237	17.268286903560725	17.02172048789639	17.617013776998633	17.742024451661702	17.432267950978936	NA	17.551581216224758
A5D8V6	1	VPS37C	0.9679	16.229628570212558	NA	NA	NA	NA	NA	NA	16.223402688132808	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.229628570212558
A5D8V7	54	ODAD3	1.0	20.056094921283666	NA	19.65624785288542	20.339827653532147	20.307205244872765	20.21012539817425	20.581906102564652	20.156979035949643	20.010535015815663	19.88863206984994	19.832090402591326	19.28288130023607	19.597367572036198	20.324638077134683	20.004764451921268	19.98078025603141	19.847672784030408	20.056094921283666
A5D8W1	5	CFAP69	1.0	16.555897717321844	NA	NA	NA	16.765986758148873	16.511660399622684	17.10268310898045	16.681262067722542	16.795192207015866	16.072266300221266	16.447920687890058	15.541255571019532	15.791966786726054	16.64988371547577	16.71294697834398	16.550222624895284	NA	16.555897717321844
A5YKK6	29	CNOT1	1.0	20.63854060578	NA	NA	NA	20.630706845983266	20.54916800302598	20.603686227408502	20.792879454790803	20.612854855676616	20.633543453181762	20.631365366679905	20.693682462811314	20.783071352043077	20.6298754592625	20.622956464168574	20.68073560908101	NA	20.63854060578
A6H8M9	1	CDHR4	0.9989	10.920100507215729	NA	NA	NA	11.181570278090417	10.065676894245737	11.08909584870549	10.675082248503033	10.468670840742293	11.226801266813817	10.831515319589926	NA	11.026139610525462	11.070023323066241	11.25037654368626	10.829584727299256	NA	NA
A6NCI4	7	VWA3A	1.0	17.657692279942097	NA	NA	18.261564680673022	17.84544074654266	17.98154886122115	17.85145887100989	17.92472221504049	17.787111875867	17.599139765450932	17.085779076305	17.014179261954364	17.341165042594636	17.61568014810491	17.702409321517457	17.65950985593982	NA	17.657692279942097
A6ND36	1	FAM83G	0.9999	10.920100507215729	NA	NA	NA	10.714114734579443	10.1430753395081	11.034390218760453	10.479874893659039	10.824524213762869	11.451121837712563	11.251158851486219	11.087892134423557	11.038927578144603	10.824337664435582	10.910605976849528	11.050035436367144	NA	NA
A6NDG6	6	PGP	1.0	17.970271199744392	NA	NA	16.825626855342787	18.052549319911886	18.133313695709926	18.19837256060349	17.87486109769565	17.960757513835155	17.735895522184865	17.98355620644526	17.89769422081175	18.166725195810333	18.097154296403005	17.864728017464596	17.816258488360766	NA	17.970271199744392
A6NFE3	1	EFCAB10	0.9995	15.954563193870078	NA	NA	16.39860919465888	16.191274580638137	15.90226704037212	16.003377053117873	15.986759146712746	15.9753683523896	16.2089200594416	15.811703762374401	16.111990004650696	16.09037567034763	16.372552636771598	16.013187339752022	16.116583136306087	NA	15.954563193870078
A6NFN9	1	ANKUB1	0.9976	13.316521021638815	NA	NA	NA	13.634894771540413	13.373825689139359	14.262753099731556	13.239182832843614	13.071752537295465	12.097729332467837	12.970059541767279	NA	12.57499567508889	12.197234028733599	13.823580961971565	13.320749111865462	NA	13.316521021638815
A6NFT4	5	CFAP73	1.0	16.837973716218443	NA	NA	NA	17.29329138887438	17.09889336581369	17.2246942545037	16.58493909897087	16.82365984381986	16.79785061821133	16.538484833024782	15.681332897744877	15.94276577845708	17.065718909456994	16.812725425812868	17.046246646956156	NA	16.837973716218443
A6NGH7	1	CCDC160	0.9958	10.920100507215729	NA	NA	NA	11.040738525119977	10.998566705482308	10.648916639450535	11.181660499113631	10.828531083101721	10.991015478698369	9.804626095110576	10.84526737193751	11.48472860936567	11.266578736215912	10.795644285167347	10.652011064380963	NA	NA
A6NHR9	4	SMCHD1	0.9999	15.071986049630281	NA	NA	NA	15.278296679974334	15.12272281014473	15.223455016172027	14.924603294343308	15.380449589364051	14.967673749689279	15.115136533182884	15.045794895592259	15.018611060497355	14.928508229674142	14.680033604552554	14.954661100506645	NA	15.071986049630281
A6NHT5	1	HMX3	1.0	17.006934791904623	NA	NA	NA	18.013446206834754	17.978494369054552	16.363658956235028	16.639484444974304	16.536440236886584	16.960433645162997	16.242069083954544	17.01671878104385	16.948251007599584	16.42308387819467	17.237851990233292	16.005417267551746	NA	17.006934791904623
A6NI28	2	ARHGAP42	0.9875	18.52813519632673	NA	NA	18.771404275649985	18.595812896308114	18.922520019006367	18.551956999057797	18.5674349883975	18.745221617201924	18.30773224921664	18.60573778575412	18.446969157188015	18.550881164053564	18.616804997612494	18.538732221418933	18.386106551618397	NA	18.52813519632673
A6NI79	1	CCDC69	0.9835	12.24277351043199	NA	NA	NA	12.281228233665116	12.170555729437163	12.371202928870453	12.139389649749003	12.74884728029201	12.212243456857433	12.182179128474843	12.345692566252241	11.769244170112067	11.606554259856662	12.326680670430815	12.488690067631687	NA	12.24277351043199
A6NIH7	5	UNC119B	1.0	17.625605162369407	NA	NA	NA	17.7403316947119	17.34881262595179	17.734393533050987	17.410953057765553	17.551834853692522	17.557094368084428	17.673971536908986	17.412130837102264	17.321597464353427	17.910836346404327	17.9389885057067	17.844095068545776	NA	17.625605162369407
A6NIK2	1	LRRC10B	0.9834	11.836803569521802	NA	NA	NA	12.088400084975968	11.96874461121034	12.17886725108108	12.201727410326873	11.156559470588167	11.75898036007018	11.753578400120752	12.07123251341893	12.127781336687102	11.423868460970562	11.371410974809327	11.294005941249942	NA	11.836803569521802
A6NIZ1	16		1.0	19.61595417446542	NA	NA	NA	19.553121477434594	20.16282650720193	19.534389051013616	19.52651314335052	19.54042033874987	19.282117648819224	19.68282464302512	19.63428360319624	19.627833003070002	19.794171762852994	19.290003391987394	19.180501780482846	NA	19.61595417446542
A6NJ78	1	METTL15	1.0	16.0157052811302	NA	NA	NA	15.930678627046435	15.822656145270766	16.15665280922999	15.81122284935024	16.09568412911797	15.606129758114703	15.99054315559322	15.984153342431554	16.451620411902802	16.151023234431953	16.038631293969914	16.002538761573035	NA	16.0157052811302
A6NJV1	4	FAM166C	1.0	18.793117575404032	NA	NA	18.507967743180043	18.913506986175676	18.996172018597775	18.88299375074424	18.838899002192555	18.954192515457446	18.82278867749254	18.425587883890387	17.056139816100387	17.98182115310073	19.555405334955502	19.27905655184689	19.277883555273988	NA	18.793117575404032
A6NKN8	3	PCP4L1	1.0	13.992779284845922	NA	NA	NA	12.955850899434521	12.850337425811297	13.19562987780854	14.221494777367777	14.419262859003465	13.922502621106483	14.947804532771222	14.404544940165252	12.56551759048424	11.750499837422785	14.645199052094934	14.577387078002047	NA	13.992779284845922
A6NL82	7	FAM183A	1.0	18.235213097717462	NA	NA	19.350986333088	18.428152025150474	18.52004730877606	18.52803472813702	18.203630320604653	18.09733382133126	18.130769411194695	18.223735929998522	17.348808476275025	17.486431978274762	18.469860858947303	18.65973023434725	18.46991352659857	19.877730387742087	18.235213097717462
